mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_mean,ess_sd,ess_bulk,ess_tail,r_hat
-1.0264e+01,1.56,-13.235,-7.415,0.021,0.015,5463.0,5323.0,5478.0,3068.0,1.0
15.269,0.699,13.97,16.55,0.014,0.01,2565.0,2551.0,2583.0,2699.0,1.0
9.653,1.233,7.416,11.929,0.02,0.015,3684.0,3550.0,3827.0,2890.0,1.0
3.372,0.648,2.193,4.586,0.017,0.012,1401.0,1401.0,1366.0,1659.0,1.0
